Barnstable	1532	144	212990
Berkshire	594	44	124944
Bristol	8198	568	565217
Dukes	63	1	28731
Essex	16053	1099	789034
Franklin	366	54	70180
Hampden	6760	663	466372
Hampshire	958	110	160830
Middlesex	23915	1855	1611699
Norfolk	9151	927	706775
Plymouth	8671	663	521202
Suffolk	19795	1004	803907
Worcester	12324	921	830622
Unknown	287	7	n/a
