	11	2	20073
	3	0	15712
	31	0	45252
	3	1	14992
	2581	39	259786
	6	2	13167
	2	1	15258
	92	2	49807
	70	0	63635
	60	6	34491
	69	1	56954
	31	0	16288
	1139	32	529843
	437	5	87776
	40	3	27439
	20	0	43402
	29	0	44498
	163	1	102991
	2	0	4337
	295	6	102315
	35	3	9018
	129	12	51828
	80	1	36864
	24	0	18757
	22	0	23620
	2	1	5715
	24	1	20506
	181	4	84652
	29	1	26419
	1421	39	168330
	44	1	20360
	274	0	117850
	56	0	16735
	7	0	19164
	8	0	27848
	70	1	79407
	115	1	135264
	42	3	40537
	10	1	15207
	4	0	4579
	10355	371	954209
	50	1	45502
	49	0	37556
	17	0	35345
	402	8	184754
	209	15	88284
	1	0	7262
	57	0	41603
	40	1	43349
	96	0	70599
	2	0	13490
	2090	58	195398
	15	4	17539
	791	23	161769
	11	0	14183
	96	3	63596
	9	0	16370
	70	0	41009
	185	4	115205
	131	1	87917
	8	0	20356
	92	0	29438
	30	0	30516
	10	0	21593
	498	18	103013
	4	0	15689
	322	13	134535
	1015	38	398879
	91	5	51444
	20	0	24116
	608	11	169926
	33	1	73274
