Apache	2381	90	71887
Cochise	657	12	125922
Coconino	1941	94	143476
Gila	309	6	54018
Graham	108	< 3	38837
Greenlee	18	< 3	9498
La Paz	345	5	21108
Maricopa	52266	817	4485414
Mohave	1142	87	212181
Navajo	3703	130	110924
Pima	8387	280	1047279
Pinal	3777	71	462789
Santa Cruz	1802	22	46498
Yavapai	771	10	235099
Yuma	6485	93	213787
